14.83,32.861,53.649,70.758,94.096,117.96,141.03,164.19,185.06,207.5,229.95,251.52,272.37,295.13,317.71,339.85,364.22,387.73,411.75,435.39,457.03,479.57,502.36,526.05,548.8,573.73,594.3,616.45,644.08,670.08,695.78,721.02,742.45,764.92,787.1,808.62,826.37,845.5,867.11,886.02
39.216,36.519,54.882,75.464,93.895,117.34,141.06,166.32,186.65,208.42,233.5,255.59,275.2,296.82,316.71,338.62,361.17,382.74,406.02,430.91,454.23,476.5,498.36,523.37,548.6,577.16,598.25,623.2,649.45,676.57,703.96,727.95,746.94,771.86,792.88,815.3,835.75,856.9,880.22,895.6
68.972,64.016,62.792,82.341,103.79,123.01,146.18,171.69,193.37,214.84,238.64,263.18,284.05,304.53,323.86,343.68,366.27,387.7,410.85,436.27,459.8,481.07,502.38,526.43,551.47,579.88,604.87,631,658.97,685.35,714.18,740.99,759.13,782.14,805.74,826,848.32,870.88,896.03,912.72
98.023,90.951,88.096,89.454,110.24,132.17,151.14,175.84,197.5,220.97,244.38,267.85,291.74,313.3,330.98,349.87,370.84,391.89,414.77,440.79,464.29,486.25,507.14,529.99,554.53,582.14,607.04,636.54,666.22,693.99,722.74,750.78,771,792.15,815.22,838.47,858.7,883.25,909.31,928.15
120.74,108.03,102.7,103.89,107.11,126.18,144.51,163.47,179.14,196.57,215.77,234.62,253.2,272.45,290.32,306,323.91,339.74,356.6,376.44,394.16,410.72,427.17,445.24,463.55,484.24,500.74,521.51,546.81,571.27,597.9,625.47,646.86,670.31,694.55,721.04,746.38,773.84,803.97,827.77
145.48,122.73,114.19,114.35,114.07,117.91,128.62,142.16,153.53,164.27,179.73,194.86,207.8,220.01,230.93,241.26,252.67,262.38,274.03,288.33,301.44,312.85,322.65,336.65,351.11,369.61,384.4,403.92,427.89,450.82,474.55,497.45,515.67,538.72,561.52,589.04,614.59,643.27,673.99,696.93
172.71,141.1,130.26,127.3,125.44,123.8,126.79,141.41,153.42,165.02,181.11,196.31,206.87,218.42,227.19,239.39,251.52,263.24,275.7,288.02,302.72,314.46,323.96,339.98,354.54,372.61,387.11,406.01,430.11,452.54,475.25,498.13,517.63,542.18,564.32,592.7,617.06,646.09,675.68,699.07
197.64,158.55,145.22,137.91,137.96,135.56,133.16,140.7,149.8,160.72,174.75,187.03,196.93,207.3,218.17,231.22,245.63,259.21,273.29,287.98,302.56,315.94,326.46,340.33,355.31,372.43,386.65,404.55,427.63,448.78,470.34,492.85,512.37,536.54,561.52,591.48,617.72,645.77,674.66,696.81
224.3,178.5,162.77,150.51,152.99,149.68,144.65,148.53,151.36,162.89,175.75,187.33,198.43,209.04,220.95,233.93,248.41,262.06,275.49,289.82,304.57,318.44,330.9,344.75,357.39,373.73,388.06,404.86,427.99,448.73,470.44,494.03,514.43,537.66,563.42,593.62,619.27,647.68,675.05,698.08
250.57,199.59,182.18,164.58,168.01,166.44,159.18,161.84,162.19,167.41,180.07,190.24,201.31,213.73,225.81,238.95,253.86,267.33,280.55,293.93,308.21,322.87,336.13,350.09,363.56,377.08,390.47,406.44,428.86,449.13,469.64,493.45,515.77,539.46,564.27,595,620.53,647.83,674.61,697.36
275.81,219.85,201.12,179.11,182.9,185.71,175.55,175.92,176.86,179.18,183.18,193.49,205.3,217.49,233.18,245.22,260.21,274.53,287.62,300.32,313.49,327.99,341.23,354.44,367.77,381.8,392.76,406.64,427.08,444.34,461.26,483.32,504.37,526.92,551.27,580.7,606.31,632.07,655.46,675.94
302.44,240.31,218.77,193.37,196.4,201.82,191.08,191.34,189.62,192.87,193.83,196.13,207.48,220.84,236.25,250.62,264.97,278.97,292.42,305.43,318.4,331.15,344.71,358.53,371.18,384.34,395.1,406.89,425.34,440.87,456.61,480.19,502.42,526.22,551.53,582.4,608.01,633.84,657.51,677.41
330.53,262.34,237.37,209.07,212.13,216.73,208.29,208.56,204.14,206.87,208.79,206.77,211.26,224.35,241.27,254.88,271.97,284.81,297.56,311.62,324.63,336.9,349.08,362.28,375.12,386.9,397.67,409.61,426.07,441.64,457.86,481.9,504.29,527.39,553.25,583.9,610.79,636.36,660.04,680.25
357.28,283.45,255.82,224.46,227.07,232.06,225.14,225.18,219.24,221.47,223.09,220.67,221.74,228.27,244.13,259.39,275.35,291.19,303.29,316.16,330.59,342.87,353.78,365.46,379.19,392.31,400.51,412.88,429.06,442.37,457.55,481.83,504.59,528.73,552.34,582.68,609.31,635.89,660.31,681.59
384.8,303.55,273.24,238.2,239.2,243.15,238.69,239.46,231.47,234,237.13,233.25,233.5,236.22,244.4,259.36,276.52,290.97,306.01,319.11,332.71,346.31,357.24,369.64,382.59,396.98,406.64,417.43,434.59,447.6,461.76,482.84,504.16,528.1,552.67,582.99,609.47,637.7,663.17,683.84
411.56,323.3,290.57,250.89,252.69,253.9,250.8,252.66,242.08,244.97,248.84,245.11,244.81,246.61,250.64,258.99,275.4,290.48,305.05,320.32,334.65,347.75,360.46,373.65,386.51,400.37,411.64,423.66,439.75,453.96,467.97,485.83,504.09,527.81,552.57,583.2,609.19,637.55,665.03,685.91
436.63,342.54,307.24,263.36,266.5,269.02,263.88,265.6,252.65,255.76,258.55,256.4,255.99,258.07,261.88,265.72,276.13,291.48,306.09,321.02,336.12,349.67,361.93,376.69,389.03,402.89,413.25,426.96,444.04,457.65,472.81,491.16,506.56,527.92,552.48,582.36,607.85,634.83,661.07,682.02
466.42,367.22,329.1,282.07,284.39,287.85,282.63,284,269.33,272.27,274.91,271.56,274.34,275.2,279.84,284.23,289.72,298.97,314.05,329.73,344.18,358.6,370.28,380.87,395.94,408.47,421.24,433.49,450.94,465.04,479.89,499.45,516.07,533.11,557.05,585.93,612.56,638.26,662.89,685.64
494.33,389.47,348.56,298.04,300.94,304.05,299.5,300.43,284.04,286.59,288.79,284.28,287,291.05,295.26,299.5,306,310.26,318.86,334.55,349.88,363.81,376.86,387.48,397.52,412.75,423.73,438.06,454.63,469.14,483.77,504.02,522.52,540.79,559.93,588.67,613.69,640.53,664.05,684.85
